title                                                                                                                          ,link                                                                                                                     ,category      ,processed_title                                                                                      ,category_label
‘Money excuse must stop’: Thibaut Courtois urges soccer to use NBA as reference point in calendar congestion crisis            ,https://edition.cnn.com/2024/12/31/sport/thibaut-courtois-calendar-congestion-real-madrid-spt/index.html                 ,Sports        ,money excus must stop thibaut courtoi urg soccer use nba refer point calendar congest crisi          ,             0
2024 NFL playoff picture: Who’s clinched and who is still fighting to reach the postseason after Week 17                       ,https://edition.cnn.com/2024/12/31/sport/nfl-playoff-picture-week-17-spt-intl/index.html                                 ,Sports        ,nfl playoff pictur who clinch still fight reach postseason week                                      ,             0
"Gabriela Dabrowski, who won an Olympic medal and the WTA Finals, reveals she played through breast cancer treatment in 2024"  ,https://edition.cnn.com/2024/12/31/sport/gabriela-dabrowski-played-through-breast-cancer-treatment-spt/index.html        ,Sports        ,gabriela dabrowski olymp medal wta final reveal play breast cancer treatment                         ,             0
College Football Playoff: The biggest names look ahead to the quarterfinals                                                    ,https://edition.cnn.com/2024/12/31/sport/college-football-playoff-quarterfinals-walkup-spt-intl/index.html               ,Sports        ,colleg footbal playoff biggest name look ahead quarterfin                                            ,             0
Magnus Carlsen to rejoin World Blitz Chess Championship after resolving jeans controversy                                      ,https://edition.cnn.com/2024/12/30/sport/magnus-carlsen-rejoin-chess-championships-spt/index.html                        ,Sports        ,magnu carlsen rejoin world blitz chess championship resolv jean controversi                          ,             0
Detroit Lions’ Monday Night Football win sets the stage for a historic Week 18 showdown                                        ,https://edition.cnn.com/2024/12/31/sport/detroit-lions-win-sets-up-historic-week-18-showdown-spt/index.html              ,Sports        ,detroit lion monday night footbal win set stage histor week showdown                                 ,             0
Five of the top viral moments in sport in 2024                                                                                 ,https://edition.cnn.com/2024/12/31/sport/sport-top-five-viral-moments-2024-spt/index.html                                ,Sports        ,five top viral moment sport                                                                          ,             0
The key to getting to (or winning) the Super Bowl: the No. 1 seed                                                              ,https://edition.cnn.com/2024/12/30/sport/nfl-super-bowl-win-secret-no1-seed-spt/index.html                               ,Sports        ,key get win super bowl seed                                                                          ,             0
Six former Florida State players suing coach Leonard Hamilton over failed NIL payments                                         ,https://edition.cnn.com/2024/12/30/sport/six-former-florida-state-players-suing-coach-leonard-hamilton-spt/index.html    ,Sports        ,six former florida state player su coach leonard hamilton fail nil payment                           ,             0
Washington Commanders safety Jeremy Reaves proposes to girlfriend after team reaches first playoff berth since 2020            ,https://edition.cnn.com/2024/12/30/sport/jayden-daniels-commanders-falcons-spt/index.html                                ,Sports        ,washington command safeti jeremi reav propos girlfriend team reach first playoff berth sinc          ,             0
Novak Djokovic: Coach Andy Murray ‘bringing a fresh look to my game’                                                           ,https://edition.cnn.com/2024/12/30/sport/novak-djokovic-andy-murray-coach-spt/index.html                                 ,Sports        ,novak djokov coach andi murray bring fresh look game                                                 ,             0
"Eagles’ Saquon Barkley reaches 2,000-yard milestone as Philadelphia clinches NFC East"                                        ,https://edition.cnn.com/2024/12/29/sport/philadelphia-eagles-saquon-barkley-2000-yards-milestone-spt/index.html          ,Sports        ,eagl saquon barkley reach yard mileston philadelphia clinch nfc east                                 ,             0
Paralympic medalists receive hundreds of thousands of dollars less than Olympic medalists                                      ,https://edition.cnn.com/2024/12/29/sport/paralympics-reward-disparity-olympics-2024-spt/index.html                       ,Sports        ,paralymp medalist receiv hundr thousand dollar less olymp medalist                                   ,             0
"NFL Week 17: Los Angeles Chargers secure playoff spot, Cincinnati Bengals keep season alive with wild overtime victory"       ,https://edition.cnn.com/2024/12/29/sport/nfl-week-17-saturday-wrap-spt-intl/index.html                                   ,Sports        ,nfl week lo angel charger secur playoff spot cincinnati bengal keep season aliv wild overtim victori ,             0
"Pop-Tarts Bowl lives up to hype once again, feeding memes and thrills in equal amounts"                                       ,https://edition.cnn.com/2024/12/28/sport/pop-tarts-bowl-miami-iowa-state-spt/index.html                                  ,Sports        ,poptart bowl life hype feed meme thrill equal amount                                                 ,             0
‘It’s a very different beast’: Rio Ferdinand calls for ‘long-term thinking’ amid turbulent times at Manchester United          ,https://edition.cnn.com/2024/12/30/sport/rio-ferdinand-manchester-united-globe-soccer-spt/index.html                     ,Sports        ,differ beast rio ferdinand call longterm think amid turbul time manchest unit                        ,             0
‘A whole different wiring system’: the extreme athletes who pushed limits in 2024 – and why they might not be crazy after all  ,https://edition.cnn.com/2024/12/27/sport/extreme-athletes-achievements-2024-spt-intl/index.html                          ,Sports        ,whole differ wire system extrem athlet push limit might crazi                                        ,             0
